Distance_Meters,Youbike_Station,Metro_Station
2500,Xinyi & Jianguo Intersection,MRT Taipei 101 World Trade Center
3400,Xinyi & Jianguo Intersection,MRT Taipei City Hall
2100,Xinyi & Jianguo Intersection,MRT Taipower Building
1300,Xinyi & Jianguo Intersection,MRT Technology Building
4000,Xinyi & Jianguo Intersection,MRT Wanlong
5000,Xinyi & Jianguo Intersection,MRT Xinhai
1500,Xinyi & Jianguo Intersection,MRT Xinyi Anhe
2000,Xinyi & Jianguo Intersection,MRT Zhongxiao Dunhua
2000,Xinyi & Jianguo Intersection,MRT Zhongxiao Fuxing
1300,Xinyi & Jianguo Intersection,MRT Zhongxiao Xinsheng
4500,Renai & Yanji Intersection,MRT Chiang Kai-Shek Memorial Hall
1600,Renai & Yanji Intersection,MRT Daan
2500,Renai & Yanji Intersection,MRT Daan Park
3100,Renai & Yanji Intersection,MRT Dongmen
4000,Renai & Yanji Intersection,MRT Gongguan
4500,Renai & Yanji Intersection,MRT Guting
6000,Renai & Yanji Intersection,MRT Jingmei
2500,Renai & Yanji Intersection,MRT Linguang
1800,Renai & Yanji Intersection,MRT Liuzhangli
2600,Renai & Yanji Intersection,MRT Nanjing Fuxing
3700,Renai & Yanji Intersection,MRT Shandao Temple
3600,Renai & Yanji Intersection,MRT Songjiang Nanjing
600,Renai & Yanji Intersection,MRT Sun Yat-Sen Memorial Hall
1100,Renai & Yanji Intersection,MRT Taipei 101 World Trade Center
1200,Renai & Yanji Intersection,MRT Taipei City Hall
4300,Renai & Yanji Intersection,MRT Taipower Building
2600,Renai & Yanji Intersection,MRT Technology Building
5000,Renai & Yanji Intersection,MRT Wanlong
5000,Renai & Yanji Intersection,MRT Xinhai
850,Renai & Yanji Intersection,MRT Xinyi Anhe
700,Renai & Yanji Intersection,MRT Zhongxiao Dunhua
700,Renai & Yanji Intersection,MRT Zhongxiao Fuxing
2700,Renai & Yanji Intersection,MRT Zhongxiao Xinsheng
3400,N.T.U.S.T,MRT Chiang Kai-Shek Memorial Hall
2400,N.T.U.S.T,MRT Daan
2900,N.T.U.S.T,MRT Daan Park
3200,N.T.U.S.T,MRT Dongmen
800,N.T.U.S.T,MRT Gongguan
2500,N.T.U.S.T,MRT Guting
2600,N.T.U.S.T,MRT Jingmei
2300,N.T.U.S.T,MRT Linguang
1600,N.T.U.S.T,MRT Liuzhangli
4500,N.T.U.S.T,MRT Nanjing Fuxing
4900,N.T.U.S.T,MRT Shandao Temple
4900,N.T.U.S.T,MRT Songjiang Nanjing
3900,N.T.U.S.T,MRT Sun Yat-Sen Memorial Hall
3200,N.T.U.S.T,MRT Taipei 101 World Trade Center
4200,N.T.U.S.T,MRT Taipei City Hall
1600,N.T.U.S.T,MRT Taipower Building
1600,N.T.U.S.T,MRT Technology Building
1500,N.T.U.S.T,MRT Wanlong
3800,N.T.U.S.T,MRT Xinhai
2900,N.T.U.S.T,MRT Xinyi Anhe
3500,N.T.U.S.T,MRT Zhongxiao Dunhua
3500,N.T.U.S.T,MRT Zhongxiao Fuxing
3700,N.T.U.S.T,MRT Zhongxiao Xinsheng
3400,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Chiang Kai-Shek Memorial Hall
700,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Daan
1500,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Daan Park
2000,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Dongmen
3500,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Gongguan
3500,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Guting
5700,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Jingmei
3400,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Linguang
2500,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Liuzhangli
1300,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Nanjing Fuxing
2300,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Shandao Temple
2200,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Songjiang Nanjing
1500,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Sun Yat-Sen Memorial Hall
2600,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Taipei 101 World Trade Center
2300,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Taipei City Hall
3300,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Taipower Building
1600,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Technology Building
4700,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Wanlong
5200,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Xinhai
1600,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Xinyi Anhe
750,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Zhongxiao Dunhua
750,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Zhongxiao Fuxing
1300,MRT Zhongxiao Fuxing Sta.(Exit 2),MRT Zhongxiao Xinsheng
3600,Xinyi & Dunhua Intersection,MRT Chiang Kai-Shek Memorial Hall
600,Xinyi & Dunhua Intersection,MRT Daan
1400,Xinyi & Dunhua Intersection,MRT Daan Park
2000,Xinyi & Dunhua Intersection,MRT Dongmen
3100,Xinyi & Dunhua Intersection,MRT Gongguan
3400,Xinyi & Dunhua Intersection,MRT Guting
5200,Xinyi & Dunhua Intersection,MRT Jingmei
2100,Xinyi & Dunhua Intersection,MRT Linguang
1300,Xinyi & Dunhua Intersection,MRT Liuzhangli
2700,Xinyi & Dunhua Intersection,MRT Nanjing Fuxing
3500,Xinyi & Dunhua Intersection,MRT Shandao Temple
3500,Xinyi & Dunhua Intersection,MRT Songjiang Nanjing
1600,Xinyi & Dunhua Intersection,MRT Sun Yat-Sen Memorial Hall
1300,Xinyi & Dunhua Intersection,MRT Taipei 101 World Trade Center
2200,Xinyi & Dunhua Intersection,MRT Taipei City Hall
3100,Xinyi & Dunhua Intersection,MRT Taipower Building
1400,Xinyi & Dunhua Intersection,MRT Technology Building
4100,Xinyi & Dunhua Intersection,MRT Wanlong
4300,Xinyi & Dunhua Intersection,MRT Xinhai
260,Xinyi & Dunhua Intersection,MRT Xinyi Anhe
1000,Xinyi & Dunhua Intersection,MRT Zhongxiao Dunhua
1000,Xinyi & Dunhua Intersection,MRT Zhongxiao Fuxing
2400,Xinyi & Dunhua Intersection,MRT Zhongxiao Xinsheng
3800,Chengong Public Housing,MRT Chiang Kai-Shek Memorial Hall
1100,Chengong Public Housing,MRT Daan
2000,Chengong Public Housing,MRT Daan Park
2600,Chengong Public Housing,MRT Dongmen
2500,Chengong Public Housing,MRT Gongguan
3000,Chengong Public Housing,MRT Guting
4500,Chengong Public Housing,MRT Jingmei
1600,Chengong Public Housing,MRT Linguang
700,Chengong Public Housing,MRT Liuzhangli
3300,Chengong Public Housing,MRT Nanjing Fuxing
4100,Chengong Public Housing,MRT Shandao Temple
4100,Chengong Public Housing,MRT Songjiang Nanjing
2100,Chengong Public Housing,MRT Sun Yat-Sen Memorial Hall
1800,Chengong Public Housing,MRT Taipei 101 World Trade Center
2700,Chengong Public Housing,MRT Taipei City Hall
2800,Chengong Public Housing,MRT Taipower Building
850,Chengong Public Housing,MRT Technology Building
3400,Chengong Public Housing,MRT Wanlong
3600,Chengong Public Housing,MRT Xinhai
900,Chengong Public Housing,MRT Xinyi Anhe
1600,Chengong Public Housing,MRT Zhongxiao Dunhua
1600,Chengong Public Housing,MRT Zhongxiao Fuxing
3000,Chengong Public Housing,MRT Zhongxiao Xinsheng
2300,JianGuo & Heping Intersection,MRT Chiang Kai-Shek Memorial Hall
1300,JianGuo & Heping Intersection,MRT Daan
950,JianGuo & Heping Intersection,MRT Daan Park
1400,JianGuo & Heping Intersection,MRT Dongmen
1700,JianGuo & Heping Intersection,MRT Gongguan
1500,JianGuo & Heping Intersection,MRT Guting
4300,JianGuo & Heping Intersection,MRT Jingmei
2500,JianGuo & Heping Intersection,MRT Linguang
1600,JianGuo & Heping Intersection,MRT Liuzhangli
3400,JianGuo & Heping Intersection,MRT Nanjing Fuxing
3100,JianGuo & Heping Intersection,MRT Shandao Temple
3200,JianGuo & Heping Intersection,MRT Songjiang Nanjing
3600,JianGuo & Heping Intersection,MRT Sun Yat-Sen Memorial Hall
3000,JianGuo & Heping Intersection,MRT Taipei 101 World Trade Center
4100,JianGuo & Heping Intersection,MRT Taipei City Hall
1400,JianGuo & Heping Intersection,MRT Taipower Building
800,JianGuo & Heping Intersection,MRT Technology Building
3200,JianGuo & Heping Intersection,MRT Wanlong
4200,JianGuo & Heping Intersection,MRT Xinhai
2100,JianGuo & Heping Intersection,MRT Xinyi Anhe
2700,JianGuo & Heping Intersection,MRT Zhongxiao Dunhua
2700,JianGuo & Heping Intersection,MRT Zhongxiao Fuxing
1900,JianGuo & Heping Intersection,MRT Zhongxiao Xinsheng
2500,Taipei Public Library,MRT Chiang Kai-Shek Memorial Hall
800,Taipei Public Library,MRT Daan
750,Taipei Public Library,MRT Daan Park
1300,Taipei Public Library,MRT Dongmen
2100,Taipei Public Library,MRT Gongguan
2000,Taipei Public Library,MRT Guting
4700,Taipei Public Library,MRT Jingmei
2700,Taipei Public Library,MRT Linguang
1800,Taipei Public Library,MRT Liuzhangli
3000,Taipei Public Library,MRT Nanjing Fuxing
3000,Taipei Public Library,MRT Shandao Temple
3000,Taipei Public Library,MRT Songjiang Nanjing
3200,Taipei Public Library,MRT Sun Yat-Sen Memorial Hall
2800,Taipei Public Library,MRT Taipei 101 World Trade Center
3800,Taipei Public Library,MRT Taipei City Hall
1800,Taipei Public Library,MRT Taipower Building
750,Taipei Public Library,MRT Technology Building
3700,Taipei Public Library,MRT Wanlong
4400,Taipei Public Library,MRT Xinhai
1800,Taipei Public Library,MRT Xinyi Anhe
2300,Taipei Public Library,MRT Zhongxiao Dunhua
2300,Taipei Public Library,MRT Zhongxiao Fuxing
1800,Taipei Public Library,MRT Zhongxiao Xinsheng
2900,NTU Information Bldg.,MRT Chiang Kai-Shek Memorial Hall
1600,NTU Information Bldg.,MRT Daan
1700,NTU Information Bldg.,MRT Daan Park
2100,NTU Information Bldg.,MRT Dongmen
1400,NTU Information Bldg.,MRT Gongguan
2200,NTU Information Bldg.,MRT Guting
3700,NTU Information Bldg.,MRT Jingmei
2200,NTU Information Bldg.,MRT Linguang
1500,NTU Information Bldg.,MRT Liuzhangli
3700,NTU Information Bldg.,MRT Nanjing Fuxing
3800,NTU Information Bldg.,MRT Shandao Temple
3800,NTU Information Bldg.,MRT Songjiang Nanjing
3600,NTU Information Bldg.,MRT Sun Yat-Sen Memorial Hall
3000,NTU Information Bldg.,MRT Taipei 101 World Trade Center
4000,NTU Information Bldg.,MRT Taipei City Hall
1500,NTU Information Bldg.,MRT Taipower Building
800,NTU Information Bldg.,MRT Technology Building
2600,NTU Information Bldg.,MRT Wanlong
3400,NTU Information Bldg.,MRT Xinhai
2500,NTU Information Bldg.,MRT Xinyi Anhe
3000,NTU Information Bldg.,MRT Zhongxiao Dunhua
3000,NTU Information Bldg.,MRT Zhongxiao Fuxing
2600,NTU Information Bldg.,MRT Zhongxiao Xinsheng
4400,Wolong & Leye Intersection,MRT Chiang Kai-Shek Memorial Hall
2400,Wolong & Leye Intersection,MRT Daan
3100,Wolong & Leye Intersection,MRT Daan Park
3600,Wolong & Leye Intersection,MRT Dongmen
2400,Wolong & Leye Intersection,MRT Gongguan
3600,Wolong & Leye Intersection,MRT Guting
4400,Wolong & Leye Intersection,MRT Jingmei
450,Wolong & Leye Intersection,MRT Linguang
850,Wolong & Leye Intersection,MRT Liuzhangli
4600,Wolong & Leye Intersection,MRT Nanjing Fuxing
5300,Wolong & Leye Intersection,MRT Shandao Temple
5300,Wolong & Leye Intersection,MRT Songjiang Nanjing
2800,Wolong & Leye Intersection,MRT Sun Yat-Sen Memorial Hall
2100,Wolong & Leye Intersection,MRT Taipei 101 World Trade Center
3100,Wolong & Leye Intersection,MRT Taipei City Hall
3100,Wolong & Leye Intersection,MRT Taipower Building
1700,Wolong & Leye Intersection,MRT Technology Building
3400,Wolong & Leye Intersection,MRT Wanlong
2800,Wolong & Leye Intersection,MRT Xinhai
2000,Wolong & Leye Intersection,MRT Xinyi Anhe
2900,Wolong & Leye Intersection,MRT Zhongxiao Dunhua
2900,Wolong & Leye Intersection,MRT Zhongxiao Fuxing
4100,Wolong & Leye Intersection,MRT Zhongxiao Xinsheng
1000,Jinshan & Aiguo Intersection,MRT Chiang Kai-Shek Memorial Hall
1800,Jinshan & Aiguo Intersection,MRT Daan
1000,Jinshan & Aiguo Intersection,MRT Daan Park
300,Jinshan & Aiguo Intersection,MRT Dongmen
2500,Jinshan & Aiguo Intersection,MRT Gongguan
850,Jinshan & Aiguo Intersection,MRT Guting
5100,Jinshan & Aiguo Intersection,MRT Jingmei
4100,Jinshan & Aiguo Intersection,MRT Linguang
3200,Jinshan & Aiguo Intersection,MRT Liuzhangli
3400,Jinshan & Aiguo Intersection,MRT Nanjing Fuxing
1900,Jinshan & Aiguo Intersection,MRT Shandao Temple
2600,Jinshan & Aiguo Intersection,MRT Songjiang Nanjing
4100,Jinshan & Aiguo Intersection,MRT Sun Yat-Sen Memorial Hall
3800,Jinshan & Aiguo Intersection,MRT Taipei 101 World Trade Center
4900,Jinshan & Aiguo Intersection,MRT Taipei City Hall
1400,Jinshan & Aiguo Intersection,MRT Taipower Building
2400,Jinshan & Aiguo Intersection,MRT Technology Building
4000,Jinshan & Aiguo Intersection,MRT Wanlong
6300,Jinshan & Aiguo Intersection,MRT Xinhai
2800,Jinshan & Aiguo Intersection,MRT Xinyi Anhe
3300,Jinshan & Aiguo Intersection,MRT Zhongxiao Dunhua
3300,Jinshan & Aiguo Intersection,MRT Zhongxiao Fuxing
1500,Jinshan & Aiguo Intersection,MRT Zhongxiao Xinsheng
3600,Dunhua & Keelung Intersection,MRT Chiang Kai-Shek Memorial Hall
1700,Dunhua & Keelung Intersection,MRT Daan
2400,Dunhua & Keelung Intersection,MRT Daan Park
2900,Dunhua & Keelung Intersection,MRT Dongmen
1800,Dunhua & Keelung Intersection,MRT Gongguan
2900,Dunhua & Keelung Intersection,MRT Guting
3800,Dunhua & Keelung Intersection,MRT Jingmei
1400,Dunhua & Keelung Intersection,MRT Linguang
600,Dunhua & Keelung Intersection,MRT Liuzhangli
3900,Dunhua & Keelung Intersection,MRT Nanjing Fuxing
4600,Dunhua & Keelung Intersection,MRT Shandao Temple
4600,Dunhua & Keelung Intersection,MRT Songjiang Nanjing
2800,Dunhua & Keelung Intersection,MRT Sun Yat-Sen Memorial Hall
2200,Dunhua & Keelung Intersection,MRT Taipei 101 World Trade Center
3200,Dunhua & Keelung Intersection,MRT Taipei City Hall
2300,Dunhua & Keelung Intersection,MRT Taipower Building
1000,Dunhua & Keelung Intersection,MRT Technology Building
2800,Dunhua & Keelung Intersection,MRT Wanlong
3000,Dunhua & Keelung Intersection,MRT Xinhai
1600,Dunhua & Keelung Intersection,MRT Xinyi Anhe
2300,Dunhua & Keelung Intersection,MRT Zhongxiao Dunhua
2300,Dunhua & Keelung Intersection,MRT Zhongxiao Fuxing
3400,Dunhua & Keelung Intersection,MRT Zhongxiao Xinsheng
