Distance_Meters,Youbike_Station,Metro_Station
2800,MRT Daan Sta.,MRT Chiang Kai-Shek Memorial Hall
550,MRT Daan Sta.,MRT Daan Park
1200,MRT Daan Sta.,MRT Dongmen
2700,MRT Daan Sta.,MRT Gongguan
2600,MRT Daan Sta.,MRT Guting
4900,MRT Daan Sta.,MRT Jingmei
2500,MRT Daan Sta.,MRT Linguang
1700,MRT Daan Sta.,MRT Liuzhangli
2000,MRT Daan Sta.,MRT Nanjing Fuxing
2800,MRT Daan Sta.,MRT Shandao Temple
2800,MRT Daan Sta.,MRT Songjiang Nanjing
2200,MRT Daan Sta.,MRT Sun Yat-Sen Memorial Hall
1800,MRT Daan Sta.,MRT Taipei 101 World Trade Center
2800,MRT Daan Sta.,MRT Taipei City Hall
2600,MRT Daan Sta.,MRT Taipower Building
800,MRT Daan Sta.,MRT Technology Building
3900,MRT Daan Sta.,MRT Wanlong
4400,MRT Daan Sta.,MRT Xinhai
800,MRT Daan Sta.,MRT Xinyi Anhe
1300,MRT Daan Sta.,MRT Zhongxiao Dunhua
1300,MRT Daan Sta.,MRT Zhongxiao Fuxing
1700,MRT Daan Sta.,MRT Zhongxiao Xinsheng
1600,MRT Taipower Building Sta. (Exit 2),MRT Chiang Kai-Shek Memorial Hall
2600,MRT Taipower Building Sta. (Exit 2),MRT Daan
2000,MRT Taipower Building Sta. (Exit 2),MRT Daan Park
1600,MRT Taipower Building Sta. (Exit 2),MRT Dongmen
850,MRT Taipower Building Sta. (Exit 2),MRT Gongguan
700,MRT Taipower Building Sta. (Exit 2),MRT Guting
3500,MRT Taipower Building Sta. (Exit 2),MRT Jingmei
3500,MRT Taipower Building Sta. (Exit 2),MRT Linguang
2800,MRT Taipower Building Sta. (Exit 2),MRT Liuzhangli
4700,MRT Taipower Building Sta. (Exit 2),MRT Nanjing Fuxing
3200,MRT Taipower Building Sta. (Exit 2),MRT Shandao Temple
3800,MRT Taipower Building Sta. (Exit 2),MRT Songjiang Nanjing
4900,MRT Taipower Building Sta. (Exit 2),MRT Sun Yat-Sen Memorial Hall
4400,MRT Taipower Building Sta. (Exit 2),MRT Taipei 101 World Trade Center
5400,MRT Taipower Building Sta. (Exit 2),MRT Taipei City Hall
2100,MRT Taipower Building Sta. (Exit 2),MRT Technology Building
2400,MRT Taipower Building Sta. (Exit 2),MRT Wanlong
4700,MRT Taipower Building Sta. (Exit 2),MRT Xinhai
3400,MRT Taipower Building Sta. (Exit 2),MRT Xinyi Anhe
4000,MRT Taipower Building Sta. (Exit 2),MRT Zhongxiao Dunhua
4000,MRT Taipower Building Sta. (Exit 2),MRT Zhongxiao Fuxing
2600,MRT Taipower Building Sta. (Exit 2),MRT Zhongxiao Xinsheng
1500,MRT Dongmen Sta. (Exit 4),MRT Chiang Kai-Shek Memorial Hall
1300,MRT Dongmen Sta. (Exit 4),MRT Daan
600,MRT Dongmen Sta. (Exit 4),MRT Daan Park
100,MRT Dongmen Sta. (Exit 4),MRT Dongmen
2500,MRT Dongmen Sta. (Exit 4),MRT Gongguan
1300,MRT Dongmen Sta. (Exit 4),MRT Guting
5100,MRT Dongmen Sta. (Exit 4),MRT Jingmei
4000,MRT Dongmen Sta. (Exit 4),MRT Linguang
3100,MRT Dongmen Sta. (Exit 4),MRT Liuzhangli
3200,MRT Dongmen Sta. (Exit 4),MRT Nanjing Fuxing
1800,MRT Dongmen Sta. (Exit 4),MRT Shandao Temple
2400,MRT Dongmen Sta. (Exit 4),MRT Songjiang Nanjing
3700,MRT Dongmen Sta. (Exit 4),MRT Sun Yat-Sen Memorial Hall
3400,MRT Dongmen Sta. (Exit 4),MRT Taipei 101 World Trade Center
4300,MRT Dongmen Sta. (Exit 4),MRT Taipei City Hall
1500,MRT Dongmen Sta. (Exit 4),MRT Taipower Building
2000,MRT Dongmen Sta. (Exit 4),MRT Technology Building
4100,MRT Dongmen Sta. (Exit 4),MRT Wanlong
5600,MRT Dongmen Sta. (Exit 4),MRT Xinhai
2400,MRT Dongmen Sta. (Exit 4),MRT Xinyi Anhe
2800,MRT Dongmen Sta. (Exit 4),MRT Zhongxiao Dunhua
2800,MRT Dongmen Sta. (Exit 4),MRT Zhongxiao Fuxing
1100,MRT Dongmen Sta. (Exit 4),MRT Zhongxiao Xinsheng
4000,Longmen Square,MRT Chiang Kai-Shek Memorial Hall
1200,Longmen Square,MRT Daan
2000,Longmen Square,MRT Daan Park
2600,Longmen Square,MRT Dongmen
4000,Longmen Square,MRT Gongguan
4100,Longmen Square,MRT Guting
6100,Longmen Square,MRT Jingmei
3100,Longmen Square,MRT Linguang
2300,Longmen Square,MRT Liuzhangli
1700,Longmen Square,MRT Nanjing Fuxing
2700,Longmen Square,MRT Shandao Temple
2700,Longmen Square,MRT Songjiang Nanjing
1000,Longmen Square,MRT Sun Yat-Sen Memorial Hall
